Job_name,Company,Region,Salary,Url
心理学导师,北京美嘉康泰健康管理有限公司,北京-朝阳区,0.7-1万/月,https://jobs.51job.com/beijing-cyq/119513920.html?s=01&t=0
教师招聘考试心理学教师,江西聚英敏试教育咨询有限公司,南昌,0.5-1.2万/月,https://jobs.51job.com/nanchang/92877022.html?s=01&t=0
心理学普教销售,北京成均科技有限公司,北京-西城区,0.6-1万/月,https://jobs.51job.com/beijing-xcq/103183680.html?s=01&t=0
项目经理（心理学）,北京盛心阳光咨询有限公司,北京,1-1.5万/月,https://jobs.51job.com/beijing/108942455.html?s=01&t=0
a-level/AP心理学老师,上海正培教育科技有限公司,上海-浦东新区,1-1.5万/月,https://jobs.51job.com/shanghai-pdxq/117984654.html?s=01&t=0
教育学、心理学校审编辑,北京中公教育科技股份有限公司,济南-历下区,4-6千/月,https://jobs.51job.com/jinan-lxq/116054899.html?s=01&t=0
小学心理学教师,上海浦东新区民办常青藤小学,上海-浦东新区,6-8千/月,https://jobs.51job.com/shanghai-pdxq/99877018.html?s=01&t=0
AP心理学/世界史/艺术史老师,南京艾克森文化艺术交流有限公司,淮安,0.8-1.2万/月,https://jobs.51job.com/huaian/118223500.html?s=01&t=0
心理学教师（远景学院）,重庆邮电大学移通学院,重庆-合川区,6-7千/月,https://jobs.51job.com/chongqing-hcq/119406832.html?s=01&t=0
医学/心理学技术开发,杭州心景科技有限公司,杭州-滨江区,4-8千/月,https://jobs.51job.com/hangzhou-bjq/112053901.html?s=01&t=0
东北大学第三方聘航空法、航空心理学、韩语教师,北京北软高科科技发展有限公司,沈阳-沈河区,3-4.5千/月,https://jobs.51job.com/shenyang-shq/103853356.html?s=01&t=0
专注力老师（心理学优先）,杭州黑马童年文化体育有限公司,杭州-西湖区,0.8-1万/月,https://jobs.51job.com/hangzhou-xhq/118832626.html?s=01&t=0
心理学老师,江西千喜教育科技有限公司,南昌-新建区,4.5-6千/月,https://jobs.51job.com/nanchang-xjq/119284616.html?s=01&t=0
心理评估（心理学-康复-年终长假+系统培训+出国机会）,广州睿宝儿童健康管理有限公司,南宁,0.8-1.5万/月,https://jobs.51job.com/nanning/102017423.html?s=01&t=0
大学心理学老师双休+寒暑假,领鹿教育,扬州,0.5-1.1万/月,https://jobs.51job.com/yangzhou/114019687.html?s=01&t=0
幼儿心理学老师,湖南省中南艺术学校,长沙,4.5-6千/月,https://jobs.51job.com/changsha/90836381.html?s=01&t=0
心理学实习生,苏州瑞德恩信息技术有限公司,苏州-姑苏区,2-3千/月,https://jobs.51job.com/suzhou-gsq/111553962.html?s=01&t=0
心理学助教,安徽实践家文教慈善基金会,合肥-新站区,4-8千/月,https://jobs.51job.com/hefei-xzq/112734675.html?s=01&t=0
教师招考培训讲师（教育学，教育心理学，语数外讲师）,南昌市卓兴文化传媒有限公司,南昌,4-8千/月,https://jobs.51job.com/nanchang/108871355.html?s=01&t=0
教育心理学,江西爱美创教育科技有限公司,南昌-南昌县,6-8千/月,https://jobs.51job.com/nanchang-ncx/118049453.html?s=01&t=0
心理学教师,北京大申烽华科技有限责任公司,北京-海淀区,6-8千/月,https://jobs.51job.com/beijing-hdq/106569249.html?s=01&t=0
市调专员,康师傅控股杭州顶益食品有限公司上...,上海-闵行区,6-8千/月,https://jobs.51job.com/shanghai-mhq/119959544.html?s=01&t=0
