Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Url
曾都区|汽车修理工,曾都区风火轮胎商行,随州,面议,汽车制造/服务,"包吃,包住,年底双薪",不限,3-5年,https://suizhou.58.com/zpqiche/39531320023183x.shtml?tjfrom=pc_list_complement__114790330206964091993495263____&finalCp=0009001300000000000000000000_114790330206964091993495263&infoid=39531320023183&psid=114790330206964091993495263&entinfo=39531320023183_b&ytdzwdetaildj=0
曾都区|/三环急聘车工铸造工,湖北申祥人力资源管理有限公司,随州,4500-8000元/月,普工/技工,"求职保障,五险一金,饭补,加班补助",不限,不限,https://suizhou.58.com/zpshengchankaifa/40208283256707x.shtml?tjfrom=pc_list_complement__114790330206964091993495263____&finalCp=0009001300000000000000000000_114790330206964091993495263&infoid=40208283256707&psid=114790330206964091993495263&entinfo=40208283256707_b&ytdzwdetaildj=0
雄县城区|教师,雄县亿信图书销售有限公司,雄安新区,面议,教师/助教,,本科,不限,https://xionganxinqu.58.com/zhuanye/40410700017174x.shtml?psid=194258467206970784509825270&entinfo=40410700017174_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_194258467206970784509825270&tjfrom=pc_list_left_pt__194258467206970784509825270__116149385682419712__pt
雄县城区|诚聘雄安新区项目经理,河北山高商贸集团有限公司,雄安新区,4000-8000元/月,建筑,"话补,五险一金,包住,交通补助,周末双休",不限,不限,https://xionganxinqu.58.com/zpfangchanjianzhu/40510701150355x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40510701150355&psid=194258467206970784509825270&entinfo=40510701150355_b&ytdzwdetaildj=0
雄县城区|课程顾问,河北雄安博润教育科技有限公司,雄安新区,3000-6000元/月,教育培训,"五险一金,包住,房补,话补,交通补助",大专,1年以下,https://xionganxinqu.58.com/zhuanye/40164088767136x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40164088767136&psid=194258467206970784509825270&entinfo=40164088767136_b&ytdzwdetaildj=0
容城城区|青岛啤酒容城业务代表,青岛啤酒股份有限公司,雄安新区,4000-6000元/月,销售,"五险一金,包住,年底双薪,话补,饭补",不限,不限,https://xionganxinqu.58.com/yewu/40588155435028x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40588155435028&psid=194258467206970784509825270&entinfo=40588155435028_b&ytdzwdetaildj=0
安新城区|青岛啤酒安新业务代表,青岛啤酒股份有限公司,雄安新区,4000-6000元/月,销售,"五险一金,包住,年底双薪,话补,饭补",不限,不限,https://xionganxinqu.58.com/yewu/40588162574482x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40588162574482&psid=194258467206970784509825270&entinfo=40588162574482_b&ytdzwdetaildj=0
容城|诚聘餐饮服务员,容城县会友春酒楼,雄安新区,3200-6000元/月,餐饮,None,不限,不限,https://xionganxinqu.58.com/zplvyoujiudian/39788599948060x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=39788599948060&psid=194258467206970784509825270&entinfo=39788599948060_b&ytdzwdetaildj=0
雄县城区|校长,河北雄安博润教育科技有限公司,雄安新区,8000-12000元/月,教育培训,"五险一金,包吃,包住,房补,饭补",本科,1年以下,https://xionganxinqu.58.com/zhuanye/40189302202261x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40189302202261&psid=194258467206970784509825270&entinfo=40189302202261_b&ytdzwdetaildj=0
容城城区|月薪过万招聘骑手,容城县宏辉科技有限公司,雄安新区,4000-8000元/月,餐饮,"包住,话补",不限,不限,https://xionganxinqu.58.com/zplvyoujiudian/39988777454362x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=39988777454362&psid=194258467206970784509825270&entinfo=39988777454362_b&ytdzwdetaildj=0
容城|收银员,川悦火锅,雄安新区,面议,餐饮,"包吃,包住",不限,不限,https://xionganxinqu.58.com/zplvyoujiudian/39758143028873x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=39758143028873&psid=194258467206970784509825270&entinfo=39758143028873_b&ytdzwdetaildj=0
容城|配件管理,容城县荣耀汽车贸易有限公司,雄安新区,面议,汽车制造/服务,"包吃,饭补,话补,五险一金,包住",大专,不限,https://xionganxinqu.58.com/zpqiche/40664573056279x.shtml?tjfrom=pc_list_complement__194258467206970784509825270____&finalCp=0009001300000000000000000000_194258467206970784509825270&infoid=40664573056279&psid=194258467206970784509825270&entinfo=40664573056279_b&ytdzwdetaildj=0
正黄金…|幼教3-5K包吃住,四川森林宝贝教育管理有限公司,雅安,2500-5000元/月,幼教/早教,"广告,包吃,周末双休,年底双薪,加班补助,包住",不限,不限,https://legoclick.58.com/jump?target=szqOmi3draOWUvYfXh6dmyOOuitYnjTOnHnznWD3nH93rg980v6YUykKuadWuAw-mhmYuaY1uWDdsHEOrjbVmHNQnzdbnWndPj76nj03njEKPjbYPH9krjmYnj0QrHTKTHEknjbQn1cznH9Qrj9OTHmvnjTKPWmknTDOnWcYTHbvrj0KnHNLrHndrjNvrjcYnTDQTRGEgdKjgvQG0Lw_uyuYTHDKnE7lpA7f0A-8g1bkrRq1uy7zmv6xmh71uRq6UAQtniQlpA7f0A-8g1cknH0krHckgvu-mgwd0hRxUAqMgvF60vRtniQCpMGLgL7dpyPogvdfuARx0vR60hPCgvQ6XyRzxjDKsHDKTHDQrHnLrjEYrHndnHnvP1TvPHmKnTDKnE7BrA7-rH9zuaYkn1n1sHEOPWTVryFhnzYkrHI-mHPbujmznADKnHDOn103PjEOn1mznW0kPWDLP9DQnHb1P19YPjb1PHNOP1bQPWDvTEDKrHmLP9DQsWTKTXy49SXE68yVG9DKTy6YIZK1rBtfXyD8PH98mvqVsvGfmBt4pvRO5iR7PiRawBN3nzR7PzNOnaN3PBR7PiRKwaRKPBuWUA710LKfUA-WXHd1IZF6IARMXiQJUvFxEiuhpyO6UjYQFhGdUgTqnE7-rjIzyhkYpbIyP7CYnDbOiyQ8mN7M5HYKnHDzsWn3sWDkPz3Qn9DkTHTKna3knjNzPjnYrHnzrHTOPHDOrjbKPH0YsjmznT7exEDQnjTYn9DQnjTQrH0kTyE1uAR6n101sHcLP19VPj01PzdBmHm3sHDLnWnOryczuA7bnTDKnTDKTHTKTyRWP1w6mWRhnvNkuHRBPvD&adact=3&psid=154245464207009686251803876&entinfo=40091322181889_q&ytdzwdetaildj=0&finalCp=finalCp=000001230000000000110000000000000000_154245464207009686251803876&tjfrom=pc_list_left_jz__154245464207009686251803876__117394241315176448__zpjx
雨城区|幼儿带班教师,雅安市雨城区牛津之星幼儿园,雅安,面议,幼教/早教,"包吃,周末双休,话补,包住",大专,3-5年,https://ya.58.com/zhuanye/40617887499805x.shtml?psid=154245464207009686251803876&entinfo=40617887499805_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_154245464207009686251803876&tjfrom=pc_list_left_pt__154245464207009686251803876__117394241315176448__pt
雨城区|托班老师,雅安市瑜瑾教育咨询有限公司,雅安,3000-5000元/月,幼教/早教,"周末双休,加班补助,五险一金,年底双薪,交通补助",中专,1-2年,https://ya.58.com/zhuanye/31176447424823x.shtml?psid=154245464207009686251803876&entinfo=31176447424823_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_154245464207009686251803876&tjfrom=pc_list_left_pt__154245464207009686251803876__117394241315176448__pt
雨城区|保单服务专员,中国人寿保险股份有限公司雅安市雨城区支公司,雅安,3000-5000元/月,人事/行政/后勤,"五险一金,周末双休",大专,不限,https://ya.58.com/renli/40507873924506x.shtml?tjfrom=pc_list_complement__154245464207009686251803876____&finalCp=0009001300000000000000000000_154245464207009686251803876&infoid=40507873924506&psid=154245464207009686251803876&entinfo=40507873924506_b&ytdzwdetaildj=0
名山城区|房产经纪人,雅安韵杰房地产经纪有限公司,雅安,6000-12000元/月,房产中介,"加班补助,五险一金,包吃,话补,交通补助",不限,不限,https://ya.58.com/zpfangchan/40510042924048x.shtml?tjfrom=pc_list_complement__154245464207009686251803876____&finalCp=0009001300000000000000000000_154245464207009686251803876&infoid=40510042924048&psid=154245464207009686251803876&entinfo=40510042924048_b&ytdzwdetaildj=0
名山县|财务总监,雅安市首佳汽车销售有限公司,雅安,4000-8000元/月,财务/审计/统计,"包吃,周末双休",不限,不限,https://ya.58.com/zpcaiwushenji/34085434835001x.shtml?tjfrom=pc_list_complement__154245464207009686251803876____&finalCp=0009001300000000000000000000_154245464207009686251803876&infoid=34085434835001&psid=154245464207009686251803876&entinfo=34085434835001_b&ytdzwdetaildj=0
益津北路|CNC加工中心,霸州市瑞莱机械有限公司,霸州,5000-8000元/月,机械/仪器仪表,"包吃,包住,加班补助",不限,3-5年,https://bazhou.58.com/zpjixie/40749828319640x.shtml?tjfrom=pc_list_complement__183375292206970806765430678____&finalCp=0009001300000000000000000000_183375292206970806765430678&infoid=40749828319640&psid=183375292206970806765430678&entinfo=40749828319640_b&ytdzwdetaildj=0
廊坊第…|美容店长,霸州市城区柏丽嘉仁皮肤管理中心,霸州,5000-10000元/月,美容/美发,"包住,加班补助",不限,3-5年,https://bazhou.58.com/meirongjianshen/39754702953361x.shtml?tjfrom=pc_list_complement__183375292206970806765430678____&finalCp=0009001300000000000000000000_183375292206970806765430678&infoid=39754702953361&psid=183375292206970806765430678&entinfo=39754702953361_b&ytdzwdetaildj=0
廊坊第…|美容师,霸州市城区柏丽嘉仁皮肤管理中心,霸州,4000-8000元/月,美容/美发,"包住,加班补助",不限,不限,https://bazhou.58.com/meirongjianshen/39754676764306x.shtml?tjfrom=pc_list_complement__183375292206970806765430678____&finalCp=0009001300000000000000000000_183375292206970806765430678&infoid=39754676764306&psid=183375292206970806765430678&entinfo=39754676764306_b&ytdzwdetaildj=0
霸州|外贸专员/助理,霸州市优伦家具有限公司,霸州,面议,贸易/采购,None,不限,不限,https://bazhou.58.com/zpshangwumaoyi/40771781439517x.shtml?tjfrom=pc_list_complement__183375292206970806765430678____&finalCp=0009001300000000000000000000_183375292206970806765430678&infoid=40771781439517&psid=183375292206970806765430678&entinfo=40771781439517_b&ytdzwdetaildj=0
